stop_id,stop_name,tts_stop_name
140041,R CASAL MARCO TRAS SUPERMERCADO,Rua Casal Marco Tras Supermercado
140042,R CASAL MARCO TRAS SUPERMERCADO,Rua Casal Marco Tras Supermercado
140043,TORRE MARINHA (R CASAL MARCO 42A),Torre Marinha ( Rua Casal Marco 42 A )
140044,TORRE MARINHA (R CASAL MARCO 42A),Torre Marinha ( Rua Casal Marco 42 A )
140045,TORRE MARINHA (R LUIS CAMÕES 34),Torre Marinha ( Rua Luis Camões 34 )
140046,TORRE MARINHA (R LUIS CAMÕES 34),Torre Marinha ( Rua Luis Camões 34 )
140047,TORRE MARINHA (R GIL VICENTE) PISCINAS,Torre Marinha ( Rua Gil Vicente ) Piscinas
140048,TORRE MARINHA (R GIL VICENTE) PISCINAS,Torre Marinha ( Rua Gil Vicente ) Piscinas
140049,AV DR ARLINDO VICENTE37(SUBIDA CAVADAS),Avenida Doutor Arlindo Vicente 37 ( Subida Cavadas )
140050,AV DR ARLINDO VICENTE37(SUBIDA CAVADAS),Avenida Doutor Arlindo Vicente 37 ( Subida Cavadas )
140051,ARRENTELA (AV CARLOS OLIV86)QTA S JOÃO,Arrentela ( Avenida Carlos Oliv 86 ) Quinta São João
140052,ARRENTELA (AV CARLOS OLIV86)QTA S JOÃO,Arrentela ( Avenida Carlos Oliv 86 ) Quinta São João
140053,ARRENTELA (R S F U ARRENTELENSE 16A),Arrentela ( Rua São F U Arrentelense 16 A )
140054,ARRENTELA (R S F U ARRENTELENSE 16A),Arrentela ( Rua São F U Arrentelense 16 A )
140055,ARRENTELA (R S F U ARRENTELENSE 6),Arrentela ( Rua São F U Arrentelense 6 )
140057,ARRENTELA (R PAULO GAMA)ESC PREP N ÁLVAR,Arrentela ( Rua Paulo Gama ) Escola Prep N Álvar
140059,CAVAQUINHAS (AV JOSÉ AFONSO) SILVA,Cavaquinhas ( Avenida José Afonso ) Silva
140061,SEIXAL (AV MANUEL FONSECA 69),Seixal ( Avenida Manuel Fonseca 69 )
140062,SEIXAL (AV MANUEL FONSECA 69),Seixal ( Avenida Manuel Fonseca 69 )
140063,SEIXAL (AV MANUEL FONSECA 16),Seixal ( Avenida Manuel Fonseca 16 )
140064,SEIXAL (AV MANUEL FONSECA 16),Seixal ( Avenida Manuel Fonseca 16 )
140065,SEIXAL (FÓRUM) TRIBUNAL,Seixal ( Fórum ) Tribunal
140066,SEIXAL (FÓRUM) TRIBUNAL,Seixal ( Fórum ) Tribunal
140067,SEIXAL (AV ALBANO N PEREIRA 5),Seixal ( Avenida Albano N Pereira 5 )
140068,SEIXAL (AV ALBANO N PEREIRA 5),Seixal ( Avenida Albano N Pereira 5 )
140069,SEIXAL (AV VASCO GAMA 21),Seixal ( Avenida Vasco Gama 21 )
140070,SEIXAL (AV VASCO GAMA 21),Seixal ( Avenida Vasco Gama 21 )
140071,SEIXAL (AV MUD JUVENIL 13),Seixal ( Avenida Mud Juvenil 13 )
140072,SEIXAL (AV MUD JUVENIL 13),Seixal ( Avenida Mud Juvenil 13 )
140073,SEIXAL (TERMINAL FLUVIAL) P3,Seixal ( Terminal Fluvial ) P 3
140074,Seixal (Terminal Fluvial) P2,Seixal ( Terminal Fluvial ) P 2
140075,SEIXAL X (AV DR ANT BABO)GARAGEM 22,Cruzamento Entre Seixal E ( Avenida Doutor António Babo ) Garagem 22
140077,CAVAQUINHAS (AV J AFONSO)XR PAULO GAMA,Cruzamento Entre Cavaquinhas ( Avenida J Afonso ) E Rua Paulo Gama
140079,ARRENTELA(R PAULO GAMA)ES PREP N ÁLVARES,Arrentela ( Rua Paulo Gama ) Es Prep N Álvares
140081,ARRENTELA (R S F U ARRENTELENSE 6B),Arrentela ( Rua São F U Arrentelense 6 B )
140083,CASAL MARCO (EN 10 KM 12500),Casal Marco ( Estrada Nacional 10 Quilómetro 12500 )
140085,QTA GALÊGA (EN 10 KM 13300),Quinta Galêga ( Estrada Nacional 10 Quilómetro 13300 )
